iter	CrossEntropy
0	0.6224297125
1	0.5642897076
2	0.5159003058
3	0.4751495634
4	0.4403821625
5	0.4105006066
6	0.384885603
7	0.3625643612
8	0.3429857987
9	0.3261448322
10	0.3115630673
11	0.2984306125
12	0.2874490783
13	0.2774218396
14	0.2685209194
15	0.261066382
16	0.254361584
17	0.2481007802
18	0.2430442435
19	0.2380880056
20	0.2334228468
21	0.22953016
22	0.2260088188
23	0.2228017366
24	0.2204754191
25	0.2178785325
26	0.2155234257
27	0.2133807007
28	0.2114649466
29	0.2098492295
30	0.208699721
31	0.2072717856
32	0.2061689047
33	0.2052261043
34	0.204399688
35	0.2035089062
36	0.2027930556
37	0.2018332705
38	0.2010872341
39	0.2002315072
40	0.1996703828
41	0.1990118107
42	0.1984563052
43	0.1980296762
44	0.1976681718
45	0.1973025637
46	0.1969749383
47	0.1965057537
48	0.1961025869
49	0.1957408712
50	0.1955656741
51	0.195158098
52	0.1949183632
53	0.1945443857
54	0.1943225997
55	0.194177864
56	0.1937141476
57	0.1934444076
58	0.1931558233
59	0.1929919563
60	0.19277305
61	0.192620435
62	0.1924338885
63	0.1922663384
64	0.1921579848
65	0.1919442115
66	0.1919016789
67	0.1917468801
68	0.1915852526
69	0.1914966369
70	0.191360262
71	0.1911541983
72	0.1909509797
73	0.1907756606
74	0.1905673182
75	0.1903544401
76	0.1901431719
77	0.1900303407
78	0.189852639
79	0.1896688987
80	0.1895754689
81	0.1894713652
82	0.1893766138
83	0.189272055
84	0.1891868573
85	0.1890779483
86	0.1889306159
87	0.1889041397
88	0.188730672
89	0.1886770018
90	0.1886471029
91	0.1885800563
92	0.1884279339
93	0.1883627747
94	0.1882738597
95	0.1881507434
96	0.188099847
97	0.1880183591
98	0.1878835622
99	0.1878349662
