iter	Passed	Remaining
0	48	4754
1	61	3028
2	80	2611
3	95	2284
4	110	2102
5	124	1943
6	137	1820
7	150	1732
8	166	1678
9	179	1618
10	193	1563
11	218	1604
12	233	1565
13	248	1528
14	262	1485
15	276	1449
16	291	1422
17	305	1389
18	318	1358
19	332	1329
20	347	1306
21	360	1279
22	374	1252
23	388	1228
24	401	1204
25	416	1184
26	429	1162
27	444	1143
28	460	1128
29	476	1110
30	490	1091
31	506	1076
32	520	1056
33	535	1038
34	548	1018
35	569	1012
36	584	994
37	599	977
38	613	959
39	626	939
40	640	921
41	657	908
42	676	896
43	690	878
44	704	861
45	719	844
46	733	827
47	747	809
48	761	792
49	774	774
50	788	757
51	801	739
52	816	724
53	830	707
54	846	692
55	860	676
56	876	661
57	890	644
58	1065	740
59	1080	720
60	1096	701
61	1111	681
62	1124	660
63	1140	641
64	1155	622
65	1177	606
66	1190	586
67	1222	575
68	1239	557
69	1253	537
70	1269	518
71	1284	499
72	1303	481
73	1318	463
74	1342	447
75	1355	428
76	1371	409
77	1386	391
78	1400	372
79	1417	354
80	1432	335
81	1449	318
82	1463	299
83	1479	281
84	1495	263
85	1511	245
86	1526	228
87	1541	210
88	1564	193
89	1578	175
90	1593	157
91	1622	141
92	1636	123
93	1645	105
94	1664	87
95	1673	69
96	1690	52
97	1702	34
98	1713	17
99	1724	0
